index, uuid, name, pci.bus_id, pcie.link.gen.current, pcie.link.width.current, vbios_version, power.limit [W], clocks.max.graphics [MHz], clocks.max.memory [MHz]
0, GPU-42e33043-7008-2803-9ba8-9bb9ef7d0845, NVIDIA GeForce RTX 3090, 00000000:46:00.0, 1, 8, 94.02.42.80.1F, 350.00 W, 2100 MHz, 9751 MHz
1, GPU-bff95c83-0adb-feb7-9825-359f31b26de8, NVIDIA GeForce RTX 3090, 00000000:C3:00.0, 1, 16, 94.02.59.00.5E, 370.00 W, 2115 MHz, 9751 MHz
