model_id,direct_run1_ms,direct_run2_ms,direct_run3_ms,direct_mean_ms,direct_std_ms,ncu_run1_ms,ncu_run2_ms,ncu_run3_ms,ncu_mean_ms,ncu_std_ms,overhead_ms,overhead_percent
gpt2_layer6_embd1024_ffn4096_head16_pos512_max2_batch4_prompt1,4285.608370780001,4314.73822278,4280.92982178,4293.758805113333,18.318683888606202,102149.49966520001,100166.09207020001,100922.1623672,101079.25136753333,1000.9915771350024,96785.492562419997,2254.00
gpt2_layer8_embd3072_ffn12288_head48_pos1024_max2_batch4_prompt1,4463.4456662,4521.6425991999995,4494.4743812,4493.1875488666665,29.119799205045954,105343.79109612,105641.89333612,107086.39955212,106024.02799478667,932.0360672991096,101530.8404459200035,2259.00
llama_layer6_embd1024_ffn4096_head8_pos512_max2_batch4_prompt1,4415.30078936,4486.47339736,4462.61451236,4454.796233026666,36.224703603769086,139300.26367314,139617.84039514,139604.31845814,139507.47417547333,179.57687741740062,135052.677942446664,3031.00
llama_layer8_embd4096_ffn16384_head32_pos1024_max2_batch4_prompt1,5001.09235236,5039.26018436,4997.97952936,5012.77735536,22.987552950232583,158319.94121567998,158719.30294968,158128.36061267997,158389.20159268,301.4978628139709,153376.42423732,3059.00
qwen_layer6_embd1024_ffn4096_head8_pos512_max2_batch4_prompt1,4554.81078638,4562.68563038,4603.01216938,4573.502862046666,25.857353044655124,136727.35742621997,137162.51699622,136573.57680222,136821.15040821998,305.4676425278493,132247.647546173314,2891.00
qwen_layer8_embd4096_ffn16384_head32_pos1024_max2_batch4_prompt1,5344.73315796,5337.76225696,5335.62653596,5339.373983626668,4.76244561110734,166004.8307037,165940.6632397,165301.51278469997,165749.0022427,388.86305703280954,160409.628259073332,3004.00
