frame,t_raw_s,utc,lum_mean,r_mean,g_mean,b_mean,roi_lum_mean,lum_max
-1,612457.98877199,2026-09-06T19:59:56.998570+00:00,anchor,anchor,anchor,anchor,anchor,anchor
1170,612582.935255,2026-09-06T20:02:02.013929+00:00,50.339,88.318,23.284,90.036,59.768,255
1171,612583.040307,2026-09-06T20:02:02.119041+00:00,50.676,89.039,23.422,90.388,60.027,255
1172,612583.147102,2026-09-06T20:02:02.225987+00:00,49.714,87.068,22.978,89.404,59.081,255
1173,612583.254417,2026-09-06T20:02:02.333648+00:00,50.855,89.347,23.590,90.293,60.313,255
1174,612583.359217,2026-09-06T20:02:02.440393+00:00,49.783,87.152,23.061,89.367,59.188,255
1175,612583.470998,2026-09-06T20:02:02.554370+00:00,50.216,88.114,23.200,89.928,59.597,255
1176,612583.582277,2026-09-06T20:02:02.665795+00:00,50.444,88.452,23.423,89.896,59.854,255
1177,612583.699994,2026-09-06T20:02:02.782319+00:00,49.791,87.268,22.939,89.766,59.122,255
1178,612583.810279,2026-09-06T20:02:02.888031+00:00,50.060,87.774,23.128,89.822,59.368,255
1179,612583.915307,2026-09-06T20:02:02.994241+00:00,49.311,86.228,22.783,89.079,58.710,255
1180,612584.023374,2026-09-06T20:02:03.103444+00:00,49.756,87.119,23.023,89.412,59.234,255
1181,612584.133209,2026-09-06T20:02:03.220697+00:00,50.168,87.994,23.208,89.781,59.699,255
1182,612584.250284,2026-09-06T20:02:03.327617+00:00,49.953,87.542,23.087,89.700,59.468,255
1183,612584.353642,2026-09-06T20:02:03.431348+00:00,48.851,85.280,22.586,88.546,58.449,255
1184,612584.460525,2026-09-06T20:02:03.540064+00:00,50.659,88.953,23.481,90.166,60.243,255
1185,612584.567766,2026-09-06T20:02:03.646408+00:00,49.598,86.878,22.853,89.529,59.146,255
1186,612584.680458,2026-09-06T20:02:03.764321+00:00,51.057,89.797,23.623,90.710,60.684,255
1187,612584.791869,2026-09-06T20:02:03.870521+00:00,50.112,87.950,23.077,90.079,59.644,255
1188,612584.898004,2026-09-06T20:02:03.976102+00:00,50.178,88.028,23.164,90.003,59.726,255
1189,612585.004042,2026-09-06T20:02:04.081853+00:00,50.138,87.918,23.182,89.850,59.760,255
1190,612585.108272,2026-09-06T20:02:04.186423+00:00,50.927,89.494,23.606,90.455,60.533,255
1191,612585.216893,2026-09-06T20:02:04.296390+00:00,50.398,88.462,23.293,90.134,59.942,255
1192,612585.323174,2026-09-06T20:02:04.401349+00:00,50.103,87.808,23.184,89.823,59.735,255
1193,612585.428554,2026-09-06T20:02:04.507844+00:00,50.590,88.896,23.317,90.551,60.147,255
1194,612585.537314,2026-09-06T20:02:04.616429+00:00,50.086,87.704,23.236,89.676,59.725,255
1195,612585.643620,2026-09-06T20:02:04.721778+00:00,49.115,85.852,22.649,89.041,58.713,255
1196,612585.749616,2026-09-06T20:02:04.836766+00:00,49.138,85.943,22.602,89.240,58.612,255
1197,612585.864138,2026-09-06T20:02:04.943526+00:00,52.601,92.964,24.365,92.128,62.086,255
1198,612585.972420,2026-09-06T20:02:05.050912+00:00,50.405,88.452,23.321,90.076,59.957,255
1199,612586.076596,2026-09-06T20:02:05.154653+00:00,49.482,86.507,22.902,89.237,58.997,255
1200,612586.182828,2026-09-06T20:02:05.262211+00:00,49.486,86.550,22.889,89.228,58.942,255
1201,612586.290351,2026-09-06T20:02:05.369213+00:00,49.567,86.628,23.018,89.070,59.084,255
1202,612586.401170,2026-09-06T20:02:05.487089+00:00,50.232,88.112,23.180,90.174,59.628,255
1203,612586.520104,2026-09-06T20:02:05.601816+00:00,49.832,87.233,23.059,89.592,59.414,255
1204,612586.627809,2026-09-06T20:02:05.706259+00:00,50.916,89.480,23.562,90.616,60.499,255
1205,612586.735073,2026-09-06T20:02:05.813472+00:00,50.856,89.374,23.546,90.453,60.500,255
1206,612586.840925,2026-09-06T20:02:05.919943+00:00,49.668,86.979,22.911,89.583,59.355,255
1207,612586.946107,2026-09-06T20:02:06.024655+00:00,50.775,89.159,23.590,90.079,60.769,255
1208,612587.053556,2026-09-06T20:02:06.131733+00:00,51.700,91.081,24.041,90.834,61.697,255
1209,612587.157272,2026-09-06T20:02:06.236135+00:00,50.954,89.546,23.688,90.133,61.039,255
1210,612587.263479,2026-09-06T20:02:06.342585+00:00,51.842,91.376,24.119,90.898,61.878,255
1211,612587.371042,2026-09-06T20:02:06.449715+00:00,51.232,90.177,23.757,90.557,61.359,255
1212,612587.475605,2026-09-06T20:02:06.553324+00:00,50.443,88.549,23.360,89.951,60.535,255
1213,612587.584319,2026-09-06T20:02:06.670418+00:00,51.754,91.270,23.968,91.178,61.667,255
1214,612587.698305,2026-09-06T20:02:06.776799+00:00,51.137,89.915,23.737,90.517,61.132,255
1215,612587.804580,2026-09-06T20:02:06.882325+00:00,50.301,88.256,23.278,89.893,60.258,255
1216,612587.908644,2026-09-06T20:02:06.987479+00:00,50.464,88.578,23.346,90.130,60.330,255
1217,612588.021118,2026-09-06T20:02:07.107860+00:00,50.761,89.225,23.466,90.422,60.638,255
1218,612588.142171,2026-09-06T20:02:07.225244+00:00,52.191,92.173,24.174,91.594,62.050,255
1219,612588.252957,2026-09-06T20:02:07.331488+00:00,50.890,89.425,23.602,90.325,60.826,255
1220,612588.357193,2026-09-06T20:02:07.435024+00:00,51.211,90.197,23.651,90.872,61.064,255
1221,612588.461618,2026-09-06T20:02:07.541481+00:00,50.342,88.460,23.160,90.327,60.079,255
1222,612588.569229,2026-09-06T20:02:07.646722+00:00,50.203,88.081,23.180,90.001,59.900,255
1223,612588.672690,2026-09-06T20:02:07.758766+00:00,50.492,88.755,23.215,90.585,60.011,255
1224,612588.790649,2026-09-06T20:02:07.877309+00:00,51.173,90.150,23.580,91.019,60.758,255
1225,612588.905792,2026-09-06T20:02:07.984897+00:00,51.369,90.385,23.857,90.705,61.029,255
1226,612589.012485,2026-09-06T20:02:08.090001+00:00,51.523,90.770,23.851,91.074,61.063,255
1227,612589.117585,2026-09-06T20:02:08.196529+00:00,50.957,89.507,23.687,90.261,60.626,255
1228,612589.223067,2026-09-06T20:02:08.301988+00:00,50.816,89.275,23.544,90.374,60.257,255
1229,612589.331034,2026-09-06T20:02:08.409352+00:00,50.057,87.756,23.130,89.834,59.480,255
1230,612589.435706,2026-09-06T20:02:08.513312+00:00,50.434,88.585,23.229,90.457,59.778,255
1231,612589.541291,2026-09-06T20:02:08.620646+00:00,50.400,88.474,23.245,90.361,59.749,255
1232,612589.650182,2026-09-06T20:02:08.727678+00:00,51.271,90.307,23.624,91.242,60.599,255
1233,612589.753666,2026-09-06T20:02:08.830873+00:00,51.792,91.427,23.862,91.655,61.200,255
1234,612589.859240,2026-09-06T20:02:08.937881+00:00,50.706,89.068,23.468,90.342,60.312,255
1235,612589.964665,2026-09-06T20:02:09.047465+00:00,51.317,90.327,23.801,90.683,60.975,255
1236,612590.079812,2026-09-06T20:02:09.167172+00:00,51.861,91.405,24.090,91.140,61.489,255
1237,612590.198112,2026-09-06T20:02:09.275933+00:00,52.433,92.673,24.270,91.907,61.966,255
1238,612590.303290,2026-09-06T20:02:09.382450+00:00,50.209,88.216,23.063,90.299,59.695,255
1239,612590.412249,2026-09-06T20:02:09.499676+00:00,50.665,89.127,23.323,90.575,60.165,255
1240,612590.529097,2026-09-06T20:02:09.605617+00:00,50.551,88.830,23.320,90.364,60.048,255
1241,612590.633179,2026-09-06T20:02:09.711457+00:00,51.410,90.607,23.707,91.246,60.851,255
1242,612590.739911,2026-09-06T20:02:09.817973+00:00,50.507,88.707,23.344,90.184,60.089,255
1243,612590.847334,2026-09-06T20:02:09.925043+00:00,50.973,89.704,23.536,90.668,60.525,255
1244,612590.952665,2026-09-06T20:02:10.032493+00:00,50.658,89.022,23.417,90.300,60.225,255
1245,612591.064458,2026-09-06T20:02:10.150399+00:00,50.120,87.924,23.132,89.933,59.595,255
1246,612591.183096,2026-09-06T20:02:10.269978+00:00,50.271,88.275,23.148,90.256,59.673,255
1247,612591.303217,2026-09-06T20:02:10.383705+00:00,52.067,91.906,24.118,91.485,61.520,255
1248,612591.412914,2026-09-06T20:02:10.490897+00:00,50.868,89.418,23.557,90.386,60.367,255
1249,612591.515731,2026-09-06T20:02:10.593197+00:00,50.705,89.234,23.288,90.826,60.029,255
1250,612591.623343,2026-09-06T20:02:10.709732+00:00,50.352,88.406,23.226,90.215,59.704,255
1251,612591.740285,2026-09-06T20:02:10.819900+00:00,49.962,87.656,22.958,90.145,59.169,255
1252,612591.847142,2026-09-06T20:02:10.924174+00:00,50.820,89.311,23.487,90.606,60.123,255
1253,612591.950149,2026-09-06T20:02:11.028234+00:00,50.670,89.025,23.408,90.448,59.969,255
1254,612592.056570,2026-09-06T20:02:11.134260+00:00,49.787,87.247,22.909,89.936,58.977,255
1255,612592.161359,2026-09-06T20:02:11.240691+00:00,50.509,88.732,23.291,90.409,59.652,255
1256,612592.272434,2026-09-06T20:02:11.355940+00:00,50.683,89.047,23.411,90.491,59.889,255
1257,612592.383478,2026-09-06T20:02:11.463034+00:00,50.900,89.624,23.392,90.973,60.086,255
1258,612592.490734,2026-09-06T20:02:11.567377+00:00,50.143,88.004,23.068,90.256,59.388,255
1259,612592.594454,2026-09-06T20:02:11.672667+00:00,50.620,88.950,23.355,90.478,59.960,255
1260,612592.701741,2026-09-06T20:02:11.785786+00:00,50.423,88.563,23.260,90.254,59.850,255
1261,612592.818488,2026-09-06T20:02:11.905533+00:00,49.933,87.565,23.018,89.818,59.390,255
1262,612592.939967,2026-09-06T20:02:12.027561+00:00,51.361,90.465,23.761,90.916,60.893,255
1263,612593.056785,2026-09-06T20:02:12.134822+00:00,51.938,91.593,24.098,91.280,61.604,255
1264,612593.162208,2026-09-06T20:02:12.240809+00:00,51.079,89.852,23.635,90.698,60.571,255
1265,612593.267376,2026-09-06T20:02:12.345510+00:00,50.321,88.434,23.111,90.461,59.701,255
1266,612593.374370,2026-09-06T20:02:12.453575+00:00,50.536,88.739,23.383,90.153,59.984,255
1267,612593.487001,2026-09-06T20:02:12.572256+00:00,51.024,89.735,23.629,90.553,60.525,255
1268,612593.597710,2026-09-06T20:02:12.675979+00:00,51.604,90.911,23.922,91.051,61.071,255
1269,612593.703371,2026-09-06T20:02:12.785609+00:00,50.719,89.185,23.393,90.543,60.131,255
1270,612593.818596,2026-09-06T20:02:12.900942+00:00,50.778,89.358,23.344,90.853,60.025,255
1271,612593.929831,2026-09-06T20:02:13.008000+00:00,50.860,89.414,23.503,90.605,60.102,255
1272,612594.033721,2026-09-06T20:02:13.111123+00:00,50.880,89.482,23.453,90.855,60.007,255
1273,612594.140150,2026-09-06T20:02:13.219884+00:00,50.571,88.853,23.293,90.623,59.652,255
1274,612594.247140,2026-09-06T20:02:13.324829+00:00,51.378,90.420,23.787,91.046,60.570,255
1275,612594.351095,2026-09-06T20:02:13.429511+00:00,51.174,90.045,23.634,91.033,60.284,255
1276,612594.457934,2026-09-06T20:02:13.537663+00:00,51.249,90.172,23.701,91.009,60.342,255
1277,612594.566926,2026-09-06T20:02:13.653640+00:00,51.758,91.229,23.934,91.499,60.781,255
1278,612594.681348,2026-09-06T20:02:13.759946+00:00,50.746,89.131,23.428,90.732,59.694,255
1279,612594.790236,2026-09-06T20:02:13.875843+00:00,50.654,88.911,23.413,90.580,59.740,255
1280,612594.902703,2026-09-06T20:02:13.983683+00:00,50.584,88.893,23.267,90.764,59.624,255
1281,612595.016277,2026-09-06T20:02:14.101275+00:00,52.376,92.514,24.242,91.968,61.523,255
1282,612595.129354,2026-09-06T20:02:14.207780+00:00,52.233,92.222,24.169,91.856,61.384,255
1283,612595.233960,2026-09-06T20:02:14.311613+00:00,50.220,88.063,23.202,90.086,59.459,255
1284,612595.340594,2026-09-06T20:02:14.420371+00:00,51.434,90.634,23.706,91.392,60.586,255
1285,612595.449257,2026-09-06T20:02:14.527704+00:00,51.097,89.959,23.531,91.111,60.253,255
1286,612595.554147,2026-09-06T20:02:14.638254+00:00,51.008,89.637,23.635,90.633,60.250,255
1287,612595.670993,2026-09-06T20:02:14.757870+00:00,51.237,90.231,23.586,91.336,60.316,255
1288,612595.787213,2026-09-06T20:02:14.865499+00:00,50.370,88.368,23.253,90.336,59.495,255
1289,612595.897311,2026-09-06T20:02:14.984286+00:00,50.197,88.027,23.135,90.324,59.230,255
1290,612596.012966,2026-09-06T20:02:15.091191+00:00,49.877,87.356,23.020,89.865,58.952,255
1291,612596.118472,2026-09-06T20:02:15.199257+00:00,50.960,89.518,23.623,90.594,60.222,255
1292,612596.230606,2026-09-06T20:02:15.314752+00:00,51.074,89.781,23.627,90.880,60.287,255
1293,612596.341744,2026-09-06T20:02:15.421249+00:00,50.278,88.180,23.220,90.189,59.562,255
1294,612596.450637,2026-09-06T20:02:15.534041+00:00,50.384,88.366,23.314,90.155,59.707,255
1295,612596.566447,2026-09-06T20:02:15.646940+00:00,49.638,86.887,22.906,89.591,58.899,255
1296,612596.673442,2026-09-06T20:02:15.757771+00:00,49.368,86.361,22.723,89.540,58.560,255
1297,612596.789019,2026-09-06T20:02:15.867624+00:00,49.587,86.787,22.861,89.636,58.822,255
1298,612596.897010,2026-09-06T20:02:15.975089+00:00,50.155,87.940,23.143,90.144,59.480,255
1299,612597.003113,2026-09-06T20:02:16.081016+00:00,49.930,87.513,23.002,90.014,59.286,255
1300,612597.109829,2026-09-06T20:02:16.195612+00:00,49.985,87.584,23.083,89.887,59.321,255
1301,612597.224921,2026-09-06T20:02:16.304255+00:00,49.627,86.828,22.928,89.530,59.023,255
1302,612597.332203,2026-09-06T20:02:16.410021+00:00,50.687,88.946,23.502,90.325,60.193,255
1303,612597.437447,2026-09-06T20:02:16.517320+00:00,51.535,90.690,23.916,91.054,60.955,255
1304,612597.548607,2026-09-06T20:02:16.632285+00:00,49.991,87.599,23.061,90.024,59.360,255
1305,612597.661051,2026-09-06T20:02:16.740484+00:00,49.542,86.576,22.946,89.355,58.920,255
1306,612597.769868,2026-09-06T20:02:16.847748+00:00,50.164,87.814,23.262,89.935,59.494,255
1307,612597.874422,2026-09-06T20:02:16.951702+00:00,50.047,87.653,23.122,90.049,59.273,255
1308,612597.979697,2026-09-06T20:02:17.058282+00:00,50.323,88.141,23.368,89.927,59.667,255
1309,612598.086043,2026-09-06T20:02:17.163167+00:00,49.708,86.923,23.035,89.444,59.144,255
1310,612598.190013,2026-09-06T20:02:17.274380+00:00,50.448,88.438,23.429,89.929,60.009,255
1311,612598.306149,2026-09-06T20:02:17.384121+00:00,50.651,88.828,23.563,90.003,60.302,255
1312,612598.413713,2026-09-06T20:02:17.492078+00:00,50.387,88.285,23.442,89.729,60.120,255
1313,612598.520945,2026-09-06T20:02:17.606689+00:00,50.424,88.391,23.435,89.812,60.164,255
1314,612598.635477,2026-09-06T20:02:17.712602+00:00,50.015,87.551,23.242,89.428,59.786,255
1315,612598.741261,2026-09-06T20:02:17.820300+00:00,49.942,87.417,23.186,89.420,59.667,255
1316,612598.849718,2026-09-06T20:02:17.927197+00:00,49.786,87.042,23.177,89.087,59.566,255
1317,612598.955100,2026-09-06T20:02:18.033320+00:00,50.117,87.670,23.369,89.354,59.884,255
1318,612599.061976,2026-09-06T20:02:18.141697+00:00,49.879,87.305,23.131,89.450,59.625,255
1319,612599.176208,2026-09-06T20:02:18.260689+00:00,50.182,87.929,23.232,89.947,59.876,255
1320,612599.289936,2026-09-06T20:02:18.372658+00:00,49.202,85.978,22.743,88.992,58.814,255
1321,612599.404451,2026-09-06T20:02:18.484280+00:00,50.573,88.661,23.481,90.173,60.181,255
1322,612599.510851,2026-09-06T20:02:18.594993+00:00,49.927,87.388,23.139,89.613,59.515,255
1323,612599.626803,2026-09-06T20:02:18.712597+00:00,51.210,90.007,23.757,90.809,60.783,255
1324,612599.744430,2026-09-06T20:02:18.823952+00:00,49.379,86.275,22.859,89.164,58.960,255
1325,612599.852093,2026-09-06T20:02:18.929712+00:00,49.333,86.220,22.802,89.194,58.841,255
1326,612599.957396,2026-09-06T20:02:19.036538+00:00,49.554,86.553,23.006,89.209,59.112,255
1327,612600.064669,2026-09-06T20:02:19.144395+00:00,49.051,85.559,22.727,88.839,58.509,255
1328,612600.177673,2026-09-06T20:02:19.263397+00:00,49.236,85.985,22.773,89.109,58.693,255
1329,612600.291500,2026-09-06T20:02:19.369302+00:00,49.863,87.252,23.087,89.671,59.329,255
1330,612600.395250,2026-09-06T20:02:19.472946+00:00,49.609,86.717,22.953,89.540,59.101,255
1331,612600.502077,2026-09-06T20:02:19.582250+00:00,49.385,86.285,22.865,89.155,58.971,255
1332,612600.610137,2026-09-06T20:02:19.692090+00:00,49.918,87.330,23.136,89.701,59.521,255
1333,612600.726459,2026-09-06T20:02:19.814740+00:00,49.860,87.240,23.093,89.643,59.613,255
1334,612600.848258,2026-09-06T20:02:19.925614+00:00,49.835,87.138,23.149,89.402,59.724,255
1335,612600.952529,2026-09-06T20:02:20.030523+00:00,49.626,86.681,23.126,88.893,59.599,255
1336,612601.060134,2026-09-06T20:02:20.139986+00:00,49.581,86.702,22.945,89.372,59.416,255
1337,612601.170255,2026-09-06T20:02:20.257473+00:00,50.644,88.845,23.483,90.308,60.449,255
1338,612601.285717,2026-09-06T20:02:20.363901+00:00,50.388,88.380,23.315,90.143,60.110,255
1339,612601.390171,2026-09-06T20:02:20.468703+00:00,50.188,87.916,23.301,89.684,60.014,255
1340,612601.497336,2026-09-06T20:02:20.576738+00:00,51.412,90.395,23.928,90.690,61.244,255
1341,612601.611446,2026-09-06T20:02:20.695733+00:00,51.737,91.042,24.110,90.903,61.580,255
1342,612601.722907,2026-09-06T20:02:20.801038+00:00,51.397,90.326,23.959,90.579,61.198,255
1343,612601.827681,2026-09-06T20:02:20.906066+00:00,50.477,88.533,23.407,90.049,60.178,255
1344,612601.934152,2026-09-06T20:02:21.017574+00:00,50.337,88.210,23.362,89.898,59.974,255
1345,612602.051800,2026-09-06T20:02:21.131623+00:00,50.651,88.897,23.431,90.494,60.204,255
1346,612602.157823,2026-09-06T20:02:21.235639+00:00,50.717,88.963,23.536,90.365,60.348,255
1347,612602.263939,2026-09-06T20:02:21.343685+00:00,50.938,89.413,23.664,90.467,60.647,255
1348,612602.373470,2026-09-06T20:02:21.452064+00:00,50.012,87.599,23.171,89.641,59.739,255
1349,612602.477549,2026-09-06T20:02:21.555648+00:00,50.271,88.119,23.316,89.799,60.131,255
1350,612602.584126,2026-09-06T20:02:21.663122+00:00,50.212,87.973,23.307,89.706,59.975,255
1351,612602.693260,2026-09-06T20:02:21.780202+00:00,50.793,89.248,23.489,90.524,60.407,255
1352,612602.814736,2026-09-06T20:02:21.902673+00:00,51.245,90.043,23.819,90.711,60.920,255
1353,612602.936170,2026-09-06T20:02:22.019332+00:00,52.043,91.716,24.195,91.381,61.694,255
1354,612603.046624,2026-09-06T20:02:22.124345+00:00,50.337,88.232,23.318,90.068,59.977,255
1355,612603.151697,2026-09-06T20:02:22.229403+00:00,50.719,88.990,23.526,90.361,60.317,255
1356,612603.256727,2026-09-06T20:02:22.334750+00:00,51.058,89.746,23.625,90.843,60.626,255
1357,612603.361894,2026-09-06T20:02:22.445532+00:00,50.572,88.775,23.358,90.500,60.085,255
1358,612603.478040,2026-09-06T20:02:22.557136+00:00,50.312,88.267,23.201,90.356,59.730,255
1359,612603.583592,2026-09-06T20:02:22.670515+00:00,49.648,86.863,22.914,89.701,58.962,255
1360,612603.702118,2026-09-06T20:02:22.782022+00:00,50.561,88.703,23.396,90.398,59.962,255
1361,612603.808934,2026-09-06T20:02:22.886694+00:00,49.966,87.610,22.969,90.244,59.262,255
1362,612603.917831,2026-09-06T20:02:23.004192+00:00,50.448,88.523,23.291,90.419,59.859,255
1363,612604.035933,2026-09-06T20:02:23.120357+00:00,49.761,87.121,22.992,89.609,59.199,255
1364,612604.148044,2026-09-06T20:02:23.227012+00:00,50.027,87.721,23.033,90.151,59.427,255
1365,612604.254761,2026-09-06T20:02:23.332703+00:00,51.696,91.088,23.970,91.145,61.292,255
1366,612604.359662,2026-09-06T20:02:23.438491+00:00,50.140,87.929,23.138,90.063,59.668,255
1367,612604.467168,2026-09-06T20:02:23.545621+00:00,50.962,89.528,23.657,90.406,60.498,255
1368,612604.573301,2026-09-06T20:02:23.651096+00:00,49.673,86.985,22.874,89.799,58.989,255
1369,612604.678496,2026-09-06T20:02:23.762411+00:00,50.125,87.817,23.174,90.035,59.488,255
1370,612604.793316,2026-09-06T20:02:23.879440+00:00,50.170,87.993,23.128,90.208,59.539,255
1371,612604.910699,2026-09-06T20:02:23.989654+00:00,50.455,88.588,23.256,90.492,59.860,255
1372,612605.017516,2026-09-06T20:02:24.095748+00:00,51.406,90.430,23.848,90.957,60.903,255
1373,612605.126236,2026-09-06T20:02:24.213936+00:00,50.779,89.195,23.486,90.551,60.353,255
1374,612605.240175,2026-09-06T20:02:24.318459+00:00,50.891,89.473,23.514,90.670,60.415,255
1375,612605.345163,2026-09-06T20:02:24.424185+00:00,50.448,88.557,23.284,90.363,59.934,255
1376,612605.452819,2026-09-06T20:02:24.531093+00:00,51.710,91.042,24.025,91.108,61.244,255
1377,612605.556187,2026-09-06T20:02:24.635220+00:00,51.207,90.141,23.650,90.985,60.513,255
1378,612605.667950,2026-09-06T20:02:24.752271+00:00,50.303,88.297,23.174,90.341,59.615,255
1379,612605.781069,2026-09-06T20:02:24.860289+00:00,50.434,88.518,23.285,90.343,59.832,255
1380,612605.888181,2026-09-06T20:02:24.965648+00:00,51.192,90.081,23.639,91.061,60.521,255
1381,612605.992574,2026-09-06T20:02:25.070749+00:00,50.987,89.655,23.591,90.635,60.393,255
1382,612606.098366,2026-09-06T20:02:25.182805+00:00,51.183,90.071,23.651,90.952,60.523,255
1383,612606.217564,2026-09-06T20:02:25.296986+00:00,51.835,91.362,24.051,91.225,61.203,255
1384,612606.324817,2026-09-06T20:02:25.411428+00:00,51.206,90.123,23.666,90.944,60.549,255
1385,612606.443049,2026-09-06T20:02:25.522010+00:00,50.980,89.682,23.538,90.777,60.359,255
1386,612606.547783,2026-09-06T20:02:25.626408+00:00,51.224,90.175,23.679,90.900,60.716,255
1387,612606.655049,2026-09-06T20:02:25.734181+00:00,52.121,91.987,24.147,91.602,61.564,255
1388,612606.762532,2026-09-06T20:02:25.841478+00:00,51.611,90.935,23.919,91.062,61.036,255
1389,612606.868167,2026-09-06T20:02:25.946842+00:00,51.150,89.945,23.715,90.660,60.676,255
1390,612606.974795,2026-09-06T20:02:26.053298+00:00,51.133,89.984,23.634,90.831,60.604,255
1391,612607.079132,2026-09-06T20:02:26.158684+00:00,51.335,90.399,23.732,91.012,60.757,255
1392,612607.190018,2026-09-06T20:02:26.273681+00:00,53.025,93.919,24.548,92.398,62.441,255
1393,612607.302592,2026-09-06T20:02:26.385611+00:00,51.923,91.541,24.069,91.432,61.322,255
1394,612607.419024,2026-09-06T20:02:26.500711+00:00,52.224,92.308,24.100,91.905,61.535,255
1395,612607.529277,2026-09-06T20:02:26.614391+00:00,51.439,90.584,23.776,91.207,60.754,255
1396,612607.646007,2026-09-06T20:02:26.724040+00:00,50.559,88.805,23.349,90.353,59.935,255
1397,612607.754880,2026-09-06T20:02:26.841415+00:00,50.128,88.007,23.033,90.296,59.388,255
1398,612607.872610,2026-09-06T20:02:26.958348+00:00,50.641,88.985,23.344,90.628,59.838,255
1399,612607.986639,2026-09-06T20:02:27.065480+00:00,50.682,89.055,23.397,90.532,59.830,255
1400,612608.093171,2026-09-06T20:02:27.170708+00:00,50.672,88.910,23.504,90.275,59.803,255
1401,612608.197658,2026-09-06T20:02:27.276497+00:00,50.952,89.560,23.574,90.667,60.092,255
1402,612608.305208,2026-09-06T20:02:27.384315+00:00,49.881,87.449,22.956,89.991,59.067,255
1403,612608.412392,2026-09-06T20:02:27.493359+00:00,50.957,89.604,23.536,90.783,60.179,255
1404,612608.526506,2026-09-06T20:02:27.613844+00:00,51.676,91.082,23.886,91.420,60.820,255
1405,612608.645790,2026-09-06T20:02:27.724704+00:00,51.416,90.497,23.796,91.130,60.595,255
1406,612608.751960,2026-09-06T20:02:27.838296+00:00,51.191,90.030,23.707,90.840,60.405,255
1407,612608.869783,2026-09-06T20:02:27.956710+00:00,50.883,89.410,23.550,90.571,60.221,255
1408,612608.985258,2026-09-06T20:02:28.064097+00:00,50.781,89.351,23.373,90.748,60.112,255
1409,612609.092410,2026-09-06T20:02:28.170043+00:00,50.944,89.607,23.531,90.695,60.237,255
1410,612609.195487,2026-09-06T20:02:28.273383+00:00,50.564,88.797,23.369,90.321,59.882,255
1411,612609.306657,2026-09-06T20:02:28.391892+00:00,50.952,89.702,23.462,90.868,60.252,255
1412,612609.419911,2026-09-06T20:02:28.498320+00:00,50.675,89.109,23.291,90.873,59.921,255
1413,612609.527480,2026-09-06T20:02:28.605418+00:00,50.345,88.502,23.097,90.571,59.574,255
1414,612609.631793,2026-09-06T20:02:28.709180+00:00,50.353,88.441,23.179,90.373,59.625,255
1415,612609.737256,2026-09-06T20:02:28.815065+00:00,50.045,87.815,23.026,90.105,59.312,255
1416,612609.843598,2026-09-06T20:02:28.922142+00:00,50.539,88.778,23.348,90.255,59.960,255
1417,612609.948863,2026-09-06T20:02:29.032361+00:00,50.582,88.840,23.387,90.265,59.984,255
1418,612610.065588,2026-09-06T20:02:29.145342+00:00,50.422,88.538,23.291,90.150,59.824,255
1419,612610.172760,2026-09-06T20:02:29.259847+00:00,50.333,88.499,23.067,90.621,59.558,255
1420,612610.292865,2026-09-06T20:02:29.379892+00:00,50.382,88.508,23.197,90.365,59.688,255
1421,612610.409047,2026-09-06T20:02:29.486466+00:00,50.117,87.925,23.110,90.017,59.442,255
1422,612610.514498,2026-09-06T20:02:29.592903+00:00,49.926,87.542,23.025,89.781,59.274,255
1423,612610.626227,2026-09-06T20:02:29.711283+00:00,50.254,88.209,23.198,90.022,59.670,255
1424,612610.739592,2026-09-06T20:02:29.817959+00:00,50.958,89.617,23.586,90.509,60.496,255
1425,612610.847913,2026-09-06T20:02:29.929330+00:00,50.598,88.862,23.464,89.954,60.256,255
1426,612610.961363,2026-09-06T20:02:30.042795+00:00,51.809,91.357,24.041,91.064,61.542,255
1427,612611.070521,2026-09-06T20:02:30.149373+00:00,50.791,89.407,23.397,90.562,60.410,255
1428,612611.176554,2026-09-06T20:02:30.255283+00:00,50.695,89.073,23.449,90.332,60.274,255
1429,612611.283953,2026-09-06T20:02:30.362446+00:00,51.536,90.789,23.882,90.977,61.084,255
1430,612611.389435,2026-09-06T20:02:30.468105+00:00,51.594,90.914,23.915,90.987,61.159,255
1431,612611.495863,2026-09-06T20:02:30.582746+00:00,52.198,92.207,24.165,91.612,61.724,255
1432,612611.613888,2026-09-06T20:02:30.692517+00:00,51.974,91.806,23.995,91.571,61.446,255
1433,612611.721629,2026-09-06T20:02:30.808117+00:00,50.612,89.053,23.266,90.593,60.074,255
1434,612611.834639,2026-09-06T20:02:30.912176+00:00,50.865,89.467,23.483,90.617,60.309,255
1435,612611.941597,2026-09-06T20:02:31.022072+00:00,50.929,89.518,23.623,90.319,60.482,255
1436,612612.055207,2026-09-06T20:02:31.142033+00:00,50.690,89.090,23.436,90.305,60.207,255
1437,612612.176889,2026-09-06T20:02:31.264220+00:00,50.728,89.258,23.327,90.757,60.121,255
1438,612612.296892,2026-09-06T20:02:31.376691+00:00,50.599,89.011,23.243,90.715,59.970,255
1439,612612.405647,2026-09-06T20:02:31.483678+00:00,50.307,88.276,23.274,89.916,59.850,255
1440,612612.510072,2026-09-06T20:02:31.588060+00:00,50.458,88.609,23.303,90.222,59.884,255
1441,612612.617507,2026-09-06T20:02:31.696405+00:00,50.829,89.350,23.525,90.385,60.262,255
