frame,t_raw_s,utc,lum_mean,r_mean,g_mean,b_mean,roi_lum_mean,lum_max
-1,612457.98877199,2026-09-06T19:59:56.998570+00:00,anchor,anchor,anchor,anchor,anchor,anchor
61,612464.593052,2026-09-06T20:00:03.674765+00:00,51.431,90.585,23.769,91.177,60.856,255
62,612464.701908,2026-09-06T20:00:03.780429+00:00,51.294,90.329,23.685,91.075,60.685,255
63,612464.807949,2026-09-06T20:00:03.884555+00:00,51.672,91.109,23.865,91.420,60.996,255
64,612464.909810,2026-09-06T20:00:03.987315+00:00,51.596,90.878,23.875,91.302,60.904,255
65,612465.014472,2026-09-06T20:00:04.092002+00:00,50.439,88.574,23.245,90.447,59.737,255
66,612465.116756,2026-09-06T20:00:04.194473+00:00,50.694,89.073,23.383,90.661,59.995,255
67,612465.221105,2026-09-06T20:00:04.299797+00:00,51.112,89.957,23.584,90.972,60.458,255
68,612465.326682,2026-09-06T20:00:04.403775+00:00,51.521,90.785,23.815,91.197,60.969,255
69,612465.428884,2026-09-06T20:00:04.506551+00:00,51.626,91.011,23.867,91.257,61.110,255
70,612465.533560,2026-09-06T20:00:04.610542+00:00,51.520,90.846,23.761,91.309,60.959,255
71,612465.635481,2026-09-06T20:00:04.713175+00:00,51.397,90.588,23.707,91.184,60.867,255
72,612465.739489,2026-09-06T20:00:04.817707+00:00,52.534,92.888,24.334,91.902,62.145,255
73,612465.844642,2026-09-06T20:00:04.922127+00:00,52.471,92.742,24.328,91.755,62.132,255
74,612465.946828,2026-09-06T20:00:05.024655+00:00,53.738,95.379,24.918,92.921,63.266,255
75,612466.051701,2026-09-06T20:00:05.129070+00:00,52.422,92.637,24.287,91.813,61.988,255
76,612466.154435,2026-09-06T20:00:05.231523+00:00,51.363,90.475,23.708,91.176,60.875,255
77,612466.258715,2026-09-06T20:00:05.336952+00:00,52.736,93.357,24.352,92.343,62.228,255
78,612466.363408,2026-09-06T20:00:05.440930+00:00,51.863,91.534,23.991,91.330,61.548,255
79,612466.466337,2026-09-06T20:00:05.544022+00:00,52.112,92.053,24.134,91.418,61.847,255
80,612466.571175,2026-09-06T20:00:05.648435+00:00,53.059,93.996,24.594,92.260,62.592,255
81,612466.673750,2026-09-06T20:00:05.750837+00:00,52.404,92.634,24.269,91.761,61.878,255
