sensor_subset,family,runs,detection_rate
NVML + Motherboard current + Ultrasound,pytorch_resnet_cifar10_amp,2,1.0
NVML + GPU current + Motherboard current + Ultrasound,adversarial_H_mimicry_cufft,2,0.0
NVML + GPU current + Motherboard current + Ultrasound,adversarial_J_pid_75,2,1.0
NVML + GPU current + Motherboard current + Ultrasound,adversarial_K_online_learning,2,1.0
NVML + GPU current + Motherboard current + Ultrasound,adversarial_L_diluted_10,2,1.0
NVML + GPU current + Motherboard current + Ultrasound,adversarial_L_diluted_5,2,1.0
NVML + GPU current + Motherboard current + Ultrasound,adversarial_composite_50,2,1.0
NVML + GPU current + Motherboard current + Ultrasound,bert_sst2,2,1.0
NVML + GPU current + Motherboard current + Ultrasound,bert_sst2_amp,2,0.0
NVML + GPU current + Motherboard current + Ultrasound,gpt2_wikitext2,2,1.0
NVML + GPU current + Motherboard current + Ultrasound,gpt2_wikitext2_amp,2,1.0
NVML + GPU current + Motherboard current + Ultrasound,pytorch_mlp_cifar10,2,1.0
NVML + GPU current + Motherboard current + Ultrasound,pytorch_resnet_cifar10,2,1.0
NVML + GPU current + Motherboard current + Ultrasound,pytorch_resnet_cifar10_amp,2,1.0
