method,total_runs,training_runs,nontraining_runs,true_positive_detected_training,false_negative_missed_training,false_positive_false_alert,true_negative_correct_rejection,correct_runs,run_accuracy,training_detection_rate,false_alert_rate_per_run,window_count,correct_windows,window_accuracy,window_sec,stride_sec,run_rule,split
NVML,36,26,10,22,4,0,10,32,0.8888888888888888,0.8461538461538461,0.0,328,304,0.926829268292683,30,15,fixed 3-of-5 consecutive windows at probability >= 0.75,leave-one-workload-family-out by workload_label
SensorGuard (GPU current),36,26,10,24,2,1,9,33,0.9166666666666666,0.9230769230769231,0.1,328,316,0.9634146341463414,30,15,fixed 3-of-5 consecutive windows at probability >= 0.75,leave-one-workload-family-out by workload_label
