protocol,held_out_unit,evaluated_folds,non_estimable_folds,tp,fn,fp,tn,training_tpr,tpr_ci_95_low,tpr_ci_95_high,negative_gpu_hours,false_alerts_per_gpu_hour,zero_event_upper_95
Run grouped,run,5,0,22,1,0,95,0.9565217391304348,0.7900884492974114,0.9922833338565469,11.45333333333333,0.0,0.2615598609040155
Held-out RTX 3090,device,5,0,22,1,0,95,0.9565217391304348,0.7900884492974114,0.9922833338565469,11.453333333333331,0.0,0.26155986090401545
Held-out family,family,5,0,0,23,2,93,0.0,0.0,0.14311661845042686,11.45333333333333,0.1746216530849826,
Held-out day,day,1,1,0,0,0,19,,,,1.283611111111111,0.0,2.33383167816368
