method,total_runs,training_runs,nontraining_runs,true_positive_detected_training,false_negative_missed_training,false_positive_false_alert,true_negative_correct_rejection,correct_runs,run_accuracy,training_detection_rate,false_alert_rate_per_run,window_count,correct_windows,window_accuracy,window_sec,stride_sec,run_rule,split,campaign_note
NVML,61,51,10,44,7,0,10,54,0.8852459016393442,0.8627450980392157,0.0,430,396,0.9209302325581395,30,15,fixed 3-of-5 consecutive windows at probability >= 0.85,leave-one-workload-label-out; adaptive development stress test,includes adaptive physical red-team attacks; not a sealed final test
SensorGuard (GPU current),61,51,10,42,9,2,8,50,0.819672131147541,0.8235294117647058,0.2,430,350,0.813953488372093,30,15,fixed 3-of-5 consecutive windows at probability >= 0.85,leave-one-workload-label-out; adaptive development stress test,includes adaptive physical red-team attacks; not a sealed final test
