method,total_runs,training_runs,nontraining_runs,true_positive_detected_training,false_negative_missed_training,false_positive_false_alert,true_negative_correct_rejection,correct_runs,run_accuracy,training_detection_rate,false_alert_rate_per_run,window_count,correct_windows,window_accuracy,window_sec,stride_sec,run_rule,split
NVML,36,26,10,24,2,0,10,34,0.9444444444444444,0.9230769230769231,0.0,328,327,0.9969512195121951,30,15,fixed 3-of-5 consecutive windows at probability >= 0.85,same 5-fold StratifiedGroupKFold by run_id
SensorGuard (GPU current),36,26,10,24,2,0,10,34,0.9444444444444444,0.9230769230769231,0.0,328,328,1.0,30,15,fixed 3-of-5 consecutive windows at probability >= 0.85,same 5-fold StratifiedGroupKFold by run_id
