model_id,model_family,direct_mean_seconds,monitored_mean_seconds,runtime_multiplier,overhead_percent
gpt2_layer6_embd1024_ffn4096_head16_pos512_max2_batch4_prompt1,gpt2,3.5436111356660454,3.836292213331035,1.0825940167980588,8.259401679805878
gpt2_layer8_embd3072_ffn12288_head48_pos1024_max2_batch4_prompt1,gpt2,4.301840415331147,4.514839020332147,1.0495133674047747,4.951336740477482
llama_layer6_embd1024_ffn4096_head8_pos512_max2_batch4_prompt1,llama,3.7261190063339504,3.9299793473328464,1.0547111728456224,5.47111728456225
llama_layer8_embd4096_ffn16384_head32_pos1024_max2_batch4_prompt1,llama,5.14631777266671,5.285525160667021,1.0270499013371606,2.704990133716065
qwen_layer6_embd1024_ffn4096_head8_pos512_max2_batch4_prompt1,qwen,3.8729639800003497,4.04966349866542,1.0456238476726174,4.562384767261745
qwen_layer8_embd4096_ffn16384_head32_pos1024_max2_batch4_prompt1,qwen,5.504015308331873,5.722698490668942,1.0397315723315723,3.973157233157237
