model_id,direct_run1_ms,direct_run2_ms,direct_run3_ms,direct_mean_ms,direct_std_ms,ncu_run1_ms,ncu_run2_ms,ncu_run3_ms,ncu_mean_ms,ncu_std_ms,overhead_ms,overhead_percent
gpt2_layer6_embd1024_ffn4096_head16_pos512_max2_batch4_prompt1,4287.0162073,4314.4819683,4350.1014053,4317.199860299999,31.63029804424175,9915.3351246,10066.1638556,10026.3095776,10002.602852600001,78.15902463207122,5685.402992300002,131.00
gpt2_layer8_embd3072_ffn12288_head48_pos1024_max2_batch4_prompt1,4482.4159833,4459.8888073,4523.0897743,4488.464854966666,32.031737289189124,10394.09150362,10613.42272362,11229.828194620002,10745.78080728667,433.3046859945574,6257.315952320004,139.00
llama_layer6_embd1024_ffn4096_head8_pos512_max2_batch4_prompt1,4410.014316140001,4394.33480014,4422.97241614,4409.107177473334,14.340343021046875,12699.861460639999,12597.89675864,12567.33233064,12621.696849973332,69.39615144404972,8212.589672499998,186.00
llama_layer8_embd4096_ffn16384_head32_pos1024_max2_batch4_prompt1,4978.55820286,5080.07858786,5087.59908286,5048.745291193333,60.89999989979125,14026.37708444,13887.57840544,14048.617775439998,13987.52442177333,87.26721446062403,8938.779130579997,177.00
qwen_layer6_embd1024_ffn4096_head8_pos512_max2_batch4_prompt1,4559.115710780001,4795.43598578,4564.08284878,4639.544848446668,135.0285271314469,12432.14160846,12564.20566046,12486.37694646,12494.241405126668,66.38234509456932,7854.696556680000,169.00
qwen_layer8_embd4096_ffn16384_head32_pos1024_max2_batch4_prompt1,5367.37112488,5359.60227088,5406.90536688,5377.959587546666,25.366954468931244,14427.45739578,14409.717028780002,14339.040628780001,14392.071684446668,46.774991225701974,9014.112096900002,167.00
