frame,t_raw_s,utc,therm_mean,therm_max,roi_mean
63,619555.284169,2026-09-06T21:58:14.261085+00:00,32169.66,60000.00,32888.45
64,619555.324182,2026-09-06T21:58:14.301066+00:00,32169.54,60000.00,32888.21
65,619555.364149,2026-09-06T21:58:14.341037+00:00,32169.36,60000.00,32888.10
66,619555.404235,2026-09-06T21:58:14.381330+00:00,32169.18,60000.00,32887.95
67,619555.444278,2026-09-06T21:58:14.421386+00:00,32168.47,60000.00,32887.30
68,619555.484231,2026-09-06T21:58:14.461329+00:00,32167.18,60000.00,32886.06
69,619555.524221,2026-09-06T21:58:14.501109+00:00,32165.61,60000.00,32884.58
70,619555.564186,2026-09-06T21:58:14.541072+00:00,32164.78,60000.00,32883.79
71,619555.604257,2026-09-06T21:58:14.581351+00:00,32163.89,60000.00,32882.89
72,619555.644255,2026-09-06T21:58:14.621383+00:00,32163.30,60000.00,32882.21
73,619555.684239,2026-09-06T21:58:14.661335+00:00,32163.25,60000.00,32882.13
74,619555.724172,2026-09-06T21:58:14.701063+00:00,32163.32,60000.00,32882.25
75,619555.764184,2026-09-06T21:58:14.741071+00:00,32163.43,60000.00,32882.36
76,619555.804178,2026-09-06T21:58:14.781051+00:00,32163.75,60000.00,32882.57
77,619555.844196,2026-09-06T21:58:14.821080+00:00,32164.28,60000.00,32883.04
78,619555.884178,2026-09-06T21:58:14.861061+00:00,32165.17,60000.00,32883.94
79,619555.924238,2026-09-06T21:58:14.901339+00:00,32166.40,60000.00,32885.25
80,619555.964363,2026-09-06T21:58:14.941458+00:00,32167.10,60000.00,32885.98
81,619556.004298,2026-09-06T21:58:14.981391+00:00,32166.71,60000.00,32885.47
82,619556.044190,2026-09-06T21:58:15.021075+00:00,32166.23,60000.00,32884.97
83,619556.084183,2026-09-06T21:58:15.061073+00:00,32165.67,60000.00,32884.41
84,619556.124189,2026-09-06T21:58:15.101075+00:00,32165.12,60000.00,32884.00
85,619556.164151,2026-09-06T21:58:15.141040+00:00,32164.89,60000.00,32883.69
86,619556.204188,2026-09-06T21:58:15.181075+00:00,32165.42,60000.00,32884.26
87,619556.244180,2026-09-06T21:58:15.221067+00:00,32166.90,60000.00,32885.61
88,619556.284198,2026-09-06T21:58:15.261082+00:00,32168.05,60000.00,32886.80
89,619556.324175,2026-09-06T21:58:15.301066+00:00,32168.60,60000.00,32887.37
90,619556.364178,2026-09-06T21:58:15.341060+00:00,32168.27,60000.00,32887.00
91,619556.404203,2026-09-06T21:58:15.381094+00:00,32167.56,60000.00,32886.27
92,619556.444203,2026-09-06T21:58:15.421087+00:00,32167.04,60000.00,32885.79
93,619556.484189,2026-09-06T21:58:15.461081+00:00,32166.24,60000.00,32885.14
94,619556.524250,2026-09-06T21:58:15.501125+00:00,32165.95,60000.00,32884.91
95,619556.564191,2026-09-06T21:58:15.541078+00:00,32165.80,60000.00,32884.71
96,619556.604190,2026-09-06T21:58:15.581064+00:00,32165.71,60000.00,32884.58
97,619556.644180,2026-09-06T21:58:15.621062+00:00,32165.21,60000.00,32884.08
98,619556.684185,2026-09-06T21:58:15.661066+00:00,32164.52,60000.00,32883.38
99,619556.724193,2026-09-06T21:58:15.701078+00:00,32163.78,60000.00,32882.60
100,619556.764185,2026-09-06T21:58:15.741057+00:00,32163.40,60000.00,32882.21
101,619556.804186,2026-09-06T21:58:15.781070+00:00,32163.33,60000.00,32882.08
102,619556.844268,2026-09-06T21:58:15.821351+00:00,32163.55,60000.00,32882.41
103,619556.884246,2026-09-06T21:58:15.861341+00:00,32163.59,60000.00,32882.38
104,619556.924234,2026-09-06T21:58:15.901319+00:00,32164.30,60000.00,32883.07
105,619556.964209,2026-09-06T21:58:15.941099+00:00,32165.07,60000.00,32883.95
106,619557.004173,2026-09-06T21:58:15.981053+00:00,32165.63,60000.00,32884.49
107,619557.044238,2026-09-06T21:58:16.021334+00:00,32165.95,60000.00,32884.90
108,619557.084308,2026-09-06T21:58:16.061402+00:00,32165.95,60000.00,32884.90
109,619557.124239,2026-09-06T21:58:16.101332+00:00,32165.66,60000.00,32884.67
110,619557.164189,2026-09-06T21:58:16.141076+00:00,32165.55,60000.00,32884.53
111,619557.204202,2026-09-06T21:58:16.181083+00:00,32165.37,60000.00,32884.38
112,619557.244243,2026-09-06T21:58:16.221334+00:00,32165.42,60000.00,32884.49
113,619557.284273,2026-09-06T21:58:16.261366+00:00,32165.96,60000.00,32885.03
114,619557.324229,2026-09-06T21:58:16.301316+00:00,32166.01,60000.00,32885.15
115,619557.364220,2026-09-06T21:58:16.341108+00:00,32166.09,60000.00,32885.08
116,619557.404199,2026-09-06T21:58:16.381090+00:00,32165.75,60000.00,32884.97
117,619557.444225,2026-09-06T21:58:16.421106+00:00,32164.79,60000.00,32884.01
118,619557.484188,2026-09-06T21:58:16.461104+00:00,32163.57,60000.00,32882.68
119,619557.524177,2026-09-06T21:58:16.501064+00:00,32162.24,60000.00,32881.42
120,619557.564242,2026-09-06T21:58:16.541341+00:00,32161.30,60000.00,32880.65
121,619557.604282,2026-09-06T21:58:16.581374+00:00,32160.58,60000.00,32879.90
122,619557.644301,2026-09-06T21:58:16.621390+00:00,32160.28,60000.00,32879.51
123,619557.684196,2026-09-06T21:58:16.661084+00:00,32159.75,60000.00,32879.04
124,619557.724245,2026-09-06T21:58:16.701124+00:00,32160.77,60000.00,32880.11
125,619557.764298,2026-09-06T21:58:16.741396+00:00,32160.73,60000.00,32880.19
126,619557.804258,2026-09-06T21:58:16.781340+00:00,32160.85,60000.00,32880.15
127,619557.844274,2026-09-06T21:58:16.821365+00:00,32160.57,60000.00,32879.85
128,619557.884208,2026-09-06T21:58:16.861083+00:00,32160.67,60000.00,32879.95
129,619557.924198,2026-09-06T21:58:16.901080+00:00,32160.73,60000.00,32879.99
130,619557.964314,2026-09-06T21:58:16.941395+00:00,32161.11,60000.00,32880.36
131,619558.004306,2026-09-06T21:58:16.981395+00:00,32161.00,60000.00,32880.21
132,619558.044266,2026-09-06T21:58:17.021352+00:00,32161.25,60000.00,32880.18
133,619558.084202,2026-09-06T21:58:17.061085+00:00,32161.53,60000.00,32880.41
134,619558.124187,2026-09-06T21:58:17.101063+00:00,32161.77,60000.00,32880.51
135,619558.164176,2026-09-06T21:58:17.141061+00:00,32161.53,60000.00,32880.26
136,619558.204194,2026-09-06T21:58:17.181059+00:00,32161.02,60000.00,32879.73
137,619558.244203,2026-09-06T21:58:17.221087+00:00,32160.47,60000.00,32879.07
138,619558.284245,2026-09-06T21:58:17.261334+00:00,32160.15,60000.00,32878.82
139,619558.324294,2026-09-06T21:58:17.301380+00:00,32159.63,60000.00,32878.41
140,619558.364284,2026-09-06T21:58:17.341367+00:00,32159.11,60000.00,32877.96
141,619558.404173,2026-09-06T21:58:17.381055+00:00,32159.10,60000.00,32878.33
142,619558.444214,2026-09-06T21:58:17.421081+00:00,32158.98,60000.00,32878.43
143,619558.484308,2026-09-06T21:58:17.461400+00:00,32159.67,60000.00,32879.17
