# anchor t_raw_s=16052.509036502 utc=2026-08-25T00:51:14.652525+00:00
# cmd=dcgmi dmon -i -1 -e 155,150,100,101,203,204,252 -d 1000
16052.514032	#Entity         POWER             TMPTR        SMCLK        MMCLK        GPUTL             MCUTL             FBUSD
16052.515904	ID               W                 C
16052.520147	GPU 0           113.125           64           390          5001         0                 0                 14
16052.520159	GPU 1           31.533            38           210          405          0                 0                 14
16053.523890	GPU 0           109.531           63           360          810          0                 0                 14
16053.523915	GPU 1           38.003            38           210          405          0                 0                 14
16054.525159	GPU 0           37.953            60           210          810          0                 0                 14
16054.525183	GPU 1           30.840            38           210          405          0                 0                 14
16055.526387	GPU 0           30.337            60           210          405          0                 0                 14
16055.526415	GPU 1           29.302            38           210          405          0                 0                 14
16056.527722	GPU 0           25.714            59           210          405          0                 0                 14
16056.527749	GPU 1           28.638            38           210          405          0                 0                 14
16057.529006	GPU 0           70.539            69           1470         9501         100               32                1078
16057.529036	GPU 1           33.829            38           210          405          0                 0                 17
16058.530182	GPU 0           349.056           75           1470         9501         100               21                1078
16058.530207	GPU 1           42.348            38           210          405          0                 0                 17
16059.531358	GPU 0           348.901           76           1470         9501         100               21                1078
16059.531384	GPU 1           30.397            38           210          405          0                 0                 17
16060.532509	GPU 0           349.242           77           1455         9501         100               23                1078
16060.532536	GPU 1           39.573            38           210          405          0                 0                 17
16061.533686	GPU 0           349.237           77           1455         9501         100               23                1078
16061.533710	GPU 1           30.427            38           210          405          0                 0                 17
16062.534845	GPU 0           349.360           78           1470         9501         100               23                1078
16062.534870	GPU 1           28.984            38           210          405          0                 0                 17
16063.536005	GPU 0           349.002           78           1455         9501         100               21                1078
16063.536034	GPU 1           28.631            38           210          405          0                 0                 17
16064.537160	GPU 0           349.319           79           1455         9501         100               21                1078
16064.537185	GPU 1           28.814            38           210          405          0                 0                 17
16065.538201	GPU 0           349.334           79           1455         9501         100               22                1078
16065.538213	GPU 1           29.025            38           210          405          0                 0                 17
16066.539447	GPU 0           349.011           79           1470         9501         100               22                1078
16066.539475	GPU 1           28.666            38           210          405          0                 0                 17
16067.539573	#Entity         POWER             TMPTR        SMCLK        MMCLK        GPUTL             MCUTL             FBUSD
16067.539640	ID               W                 C
16067.540623	GPU 0           349.217           79           1440         9501         100               25                1078
16067.540649	GPU 1           39.920            38           210          405          0                 0                 17
16068.541801	GPU 0           348.860           80           1440         9501         100               22                1078
16068.541831	GPU 1           30.193            38           210          405          0                 0                 17
16069.542944	GPU 0           348.736           80           1440         9501         100               21                1078
16069.542969	GPU 1           28.754            38           210          405          0                 0                 17
16070.544113	GPU 0           348.964           80           1470         9501         100               20                1078
16070.544146	GPU 1           28.440            38           210          405          0                 0                 17
16071.545829	GPU 0           348.623           80           1455         9501         100               22                1078
16071.545861	GPU 1           28.475            38           210          405          0                 0                 17
16072.547027	GPU 0           349.233           81           1455         9501         100               20                1078
16072.547054	GPU 1           28.614            38           210          405          0                 0                 17
16073.548167	GPU 0           349.258           81           1440         9501         100               23                1078
