Kernel Name,index,total_fma_ops,float_flops,half_flops,double_flops,tensor_flops,total_flops,total_flops_with_tensor,shared_ops,external_memory_ops,shared_ratio,global_op_ld_lookup_miss_bytes,global_op_st_lookup_miss_bytes,kernel_duration,accumulated_time,smsp__sass_thread_inst_executed_op_fadd_pred_on.sum,smsp__sass_thread_inst_executed_op_fmul_pred_on.sum,smsp__sass_thread_inst_executed_op_ffma_pred_on.sum,smsp__sass_thread_inst_executed_op_hfma_pred_on.sum,smsp__sass_thread_inst_executed_op_dfma_pred_on.sum,smsp__sass_thread_inst_executed_op_dmul_pred_on.sum,smsp__sass_thread_inst_executed_op_dadd_pred_on.sum,smsp__sass_thread_inst_executed_op_hadd_pred_on.sum,smsp__sass_thread_inst_executed_op_hmul_pred_on.sum,sm__ops_path_tensor_src_fp16_dst_fp16.sum,sm__ops_path_tensor_src_fp16_dst_fp32.sum,sm__ops_path_tensor_src_bf16_dst_fp32.sum,sm__ops_path_tensor_src_fp8.sum,sm__ops_path_tensor_src_tf32_dst_fp32.sum,l1tex__t_sectors_pipe_lsu_mem_global_op_ld_lookup_miss.sum,l1tex__t_sectors_pipe_lsu_mem_global_op_st_lookup_miss.sum,flops_log,flops_threshold,is_matmul_candidate,is_attention_candidate,elementwise_add_fma_ops,role
"void native::<unnamed>::vectorized_layer_norm_kernel<float, float>(int, T2, const T1 *, const T1 *, const T1 *, T2 *, T2 *, T1 *)",293,30788.0,109812.0,0.0,0.0,0.0,109812.0,109812.0,80.0,360.0,0.1818181818181818,49152.0,16640.0,6.148,2955.9959999999983,31280.0,16956.0,30788.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1536.0,520.0,11.606534198134796,13.716773187172878,False,False,0,other
ampere_sgemm_128x32_nn,294,100663296.0,202113024.0,0.0,0.0,0.0,202113024.0,202113024.0,554496.0,104448.0,0.8414918414918415,12922324.0,393216.0,24.332,2980.3279999999986,0.0,786432.0,100663296.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,403822.625,12288.0,19.124337628590073,13.716773187172878,True,True,0,QKV
"void cublasLt::splitKreduce_kernel<32, 16, int, float, float, float, float, 0, float, float, float, 1, 1, 0>(cublasLt::cublasSplitKParams<T6>, const T4 *, const T10 *, T9 *, T5 *, const T6 *, const T6 *, const T11 *, const T4 *, T11 *, void *, long, T6 *, int *, T6 *, T6 *, const T6 *, const T6 *, const T6 *, const T6 *, const T6 *)",295,0.0,122880.0,0.0,0.0,0.0,122880.0,122880.0,0.0,5760.0,0.0,405504.0,49152.0,3.544,2983.8719999999985,110592.0,12288.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12672.0,1536.0,11.718971686369219,13.716773187172878,False,False,0,splitKreduce
"void native::<unnamed>::CatArrayBatchedCopy<native::<unnamed>::OpaqueType<4>, unsigned int, 4, 64, 64>(T1 *, native::<unnamed>::CatArrInputTensorMetadata<T1, T2, T4, T5>, native::<unnamed>::TensorSizeStride<T2, 4>, int, T2)",296,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,512.0,0.0,32768.0,32768.0,5.68,2989.5519999999988,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1024.0,1024.0,0.0,13.716773187172878,False,False,0,other
"void native::<unnamed>::CatArrayBatchedCopy<native::<unnamed>::OpaqueType<4>, unsigned int, 4, 64, 64>(T1 *, native::<unnamed>::CatArrInputTensorMetadata<T1, T2, T4, T5>, native::<unnamed>::TensorSizeStride<T2, 4>, int, T2)",297,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,512.0,0.0,32768.0,32768.0,5.66,2995.2119999999986,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1024.0,1024.0,0.0,13.716773187172878,False,False,0,other
"fmha_cutlassF_f32_aligned_64x64_rf_sm80(PyTorchMemEffAttention::AttentionKernel<float, arch::Sm80, 1, 64, 64, 64, 1, 1>::Params)",298,131072.0,4358144.0,0.0,0.0,0.0,4358144.0,4358144.0,34048.0,64.0,0.99812382739212,81920.0,16384.0,18.868000000000002,3014.0799999999986,3297280.0,798720.0,131072.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2560.0,512.0,15.287557066076381,13.716773187172878,True,True,0,Attention
void cutlass::Kernel2<cutlass_80_simt_sgemm_128x32_8x5_nn_align1>(T1::Params),299,33554432.0,67371008.0,0.0,0.0,0.0,67371008.0,67371008.0,115456.0,1024.0,0.9912087912087912,4323696.0,131072.0,12.584,3026.663999999999,0.0,262144.0,33554432.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,135115.5,4096.0,18.025725349817414,13.716773187172878,True,True,0,Wo
"void cublasLt::splitKreduce_kernel<32, 16, int, float, float, float, float, 0, float, float, float, 1, 1, 0>(cublasLt::cublasSplitKParams<T6>, const T4 *, const T10 *, T9 *, T5 *, const T6 *, const T6 *, const T11 *, const T4 *, T11 *, void *, long, T6 *, int *, T6 *, T6 *, const T6 *, const T6 *, const T6 *, const T6 *, const T6 *)",300,0.0,40960.0,0.0,0.0,0.0,40960.0,40960.0,0.0,1920.0,0.0,135168.0,16384.0,3.248,3029.9119999999984,36864.0,4096.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4224.0,512.0,10.620375673477872,13.716773187172878,False,False,0,splitKreduce
"void native::vectorized_elementwise_kernel<4, native::CUDAFunctor_add<float>, std::array<char *, 3>>(int, T2, T3)",301,4096.0,8192.0,0.0,0.0,0.0,8192.0,8192.0,0.0,96.0,0.0,32768.0,16384.0,2.676,3032.587999999999,0.0,0.0,4096.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1024.0,512.0,9.011035410141815,13.716773187172878,False,False,4096,elementwise_add
"void native::<unnamed>::vectorized_layer_norm_kernel<float, float>(int, T2, const T1 *, const T1 *, const T1 *, T2 *, T2 *, T1 *)",302,30788.0,109812.0,0.0,0.0,0.0,109812.0,109812.0,80.0,360.0,0.1818181818181818,49152.0,16640.0,6.052,3038.6399999999985,31280.0,16956.0,30788.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1536.0,520.0,11.606534198134796,13.716773187172878,False,False,0,other
ampere_sgemm_128x32_nn,303,138412032.0,277741568.0,0.0,0.0,0.0,277741568.0,277741568.0,754432.0,138880.0,0.8445336008024072,17306484.0,458752.0,28.24,3066.8799999999983,0.0,917504.0,138412032.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,540827.625,14336.0,19.44220163138784,13.716773187172878,True,True,0,FFN1
"void cublasLt::splitKreduce_kernel<32, 16, int, float, float, float, float, 0, float, float, float, 1, 1, 0>(cublasLt::cublasSplitKParams<T6>, const T4 *, const T10 *, T9 *, T5 *, const T6 *, const T6 *, const T11 *, const T4 *, T11 *, void *, long, T6 *, int *, T6 *, T6 *, const T6 *, const T6 *, const T6 *, const T6 *, const T6 *)",304,0.0,147456.0,0.0,0.0,0.0,147456.0,147456.0,0.0,7168.0,0.0,475136.0,65536.0,4.244,3071.1239999999984,131072.0,16384.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14848.0,2048.0,11.901291886836486,13.716773187172878,False,False,0,splitKreduce
